,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
104,600519.SH,20200513,1317.6968,1322.6295,1307.693,1320.6129,1317.6968,2.9161000000001422,0.2213,22014.31,2931464.95,7.319,1360.0125479999995,1581.9352470000006,0,0.0
105,600519.SH,20200512,1302.869,1319.6639,1300.892,1317.6968,1307.8215,9.875299999999923,0.7551,19721.81,2621824.685,7.319,1357.2098959999994,1577.8622150000008,0,0.0
106,600519.SH,20200511,1304.846,1319.6738,1298.5887,1307.8215,1299.5179,8.30359999999996,0.639,23671.19,3135990.964,7.319,1354.8378439999994,1574.2554300000006,0,0.0
107,600519.SH,20200508,1301.8805,1322.6394,1293.4879,1299.5179,1296.9379,2.5800000000001546,0.1989,29078.68,3839218.026,7.319,1350.8141719999994,1570.7276090000007,0,0.0
108,600519.SH,20200507,1284.4825,1299.8935,1278.156,1296.9379,1285.0756,11.862300000000005,0.9231,27934.74,3647628.296,7.319,1347.3163959999993,1567.0869880000007,0,0.0
109,600519.SH,20200506,1236.6382,1285.0756,1235.6496,1285.0756,1251.1694,33.9061999999999,2.71,35834.81,4598589.768,7.319,1342.4267799999993,1563.586644000001,0,0.0
110,600519.SH,20200430,1256.4086,1270.2577,1244.4277,1251.1694,1260.2638,-9.094399999999947,-0.7216,24660.87,3134408.881,7.319,1336.4620519999994,1559.805138000001,0,0.0
111,600519.SH,20200429,1263.1305,1273.3123,1243.5578,1260.2638,1264.4452,-4.181400000000167,-0.3307,23444.06,2976724.957,7.319,1331.2742999999994,1555.9079760000009,0,0.0
112,600519.SH,20200428,1270.5543,1285.0163,1257.2785,1264.4452,1261.3512,3.094000000000052,0.2453,34661.9,4458549.425,7.319,1325.5064839999995,1551.8955280000007,0,0.0
113,600519.SH,20200427,1242.5693,1263.4962,1236.5986,1261.3512,1236.2032,25.14800000000014,2.0343,25903.91,3284513.346000001,7.319,1320.2874959999995,1547.8410400000007,0,0.0
114,600519.SH,20200424,1233.6726,1245.4261,1220.9998,1236.2032,1237.8837,-1.6805000000001655,-0.1358,19122.4,2390444.036,7.319,1314.4061999999994,1543.2530720000007,0,0.0
115,600519.SH,20200423,1235.6496,1251.1496,1233.4452,1237.8837,1230.2128,7.670900000000074,0.6235,26898.51,3377042.463,7.319,1308.1409599999993,1538.9267090000008,0,0.0
116,600519.SH,20200422,1192.1548,1235.1554,1188.4182,1230.2128,1186.2237,43.98910000000001,3.7083,44034.73,5430377.597999998,7.319,1301.2213239999994,1533.9778370000008,0,0.0
117,600519.SH,20200421,1207.0023,1209.9383,1179.304,1186.2237,1213.2103,-26.986599999999953,-2.2244,29224.22,3517018.487,7.319,1294.6338319999993,1528.240074000001,0,0.0
118,600519.SH,20200420,1206.9826,1217.362,1202.8308,1213.2103,1211.9252,1.2851000000000568,0.106,24238.64,2963483.323000001,7.319,1290.0194239999992,1522.712177000001,0,0.0
119,600519.SH,20200417,1196.1089,1220.3869,1191.1761,1211.9252,1183.357,28.56819999999993,2.4142,38245.69,4676618.1510000015,7.319,1285.5908559999993,1517.5014290000008,0,0.0
120,600519.SH,20200416,1179.2744,1183.357,1170.5062,1183.357,1175.9431,7.413900000000013,0.6305,21727.74,2588431.844,7.319,1279.2287439999993,1512.2769990000008,0,0.0
121,600519.SH,20200415,1178.3155,1190.1679,1173.4718,1175.9431,1171.4947,4.448399999999992,0.3797,29332.29,3501318.26,7.319,1272.3763279999994,1507.156430000001,0,0.0
122,600519.SH,20200414,1162.4992,1177.8707,1152.614,1171.4947,1148.9565,22.53819999999996,1.9616,36799.55,4340858.665,7.319,1266.7180399999993,1501.757377000001,0,0.0
123,600519.SH,20200413,1151.6255,1156.5483,1135.3149,1148.9565,1151.6255,-2.6690000000000964,-0.2318,15981.47,1854563.731,7.319,1258.6596279999994,1496.0119420000012,0,0.0
124,600519.SH,20200410,1144.5872,1167.936,1140.2575,1151.6255,1145.2001,6.4254000000000815,0.5611,27804.34,3252600.672,7.319,1251.3050439999995,1489.8281970000012,0,0.0
125,600519.SH,20200409,1152.614,1155.5796,1134.7811,1145.2001,1146.4456,-1.2454999999999927,-0.1086,22816.97,2640230.492,7.319,1243.8867959999995,1483.350198000001,0,0.0
126,600519.SH,20200408,1138.7747,1152.9204,1138.7747,1146.4456,1146.6334,-0.1877999999999247,-0.0164,24224.42,2809422.1,7.319,1236.5144159999995,1476.864654000001,0,0.0
127,600519.SH,20200407,1148.6105,1153.1083,1135.7004,1146.6334,1126.7049,19.928499999999982,1.7687,43488.0,5041525.481000002,7.319,1230.4626959999994,1470.3111880000008,0,0.0
128,600519.SH,20200403,1125.9536,1134.7811,1118.9846,1126.7049,1131.8551,-5.150200000000041,-0.455,27617.61,3148421.866000001,7.319,1223.0764759999993,1463.7132370000008,0,0.0
129,600519.SH,20200402,1091.3258,1131.8551,1091.2071,1131.8551,1090.3373,41.51780000000008,3.8078,45205.61,5095167.594,7.319,1215.5261639999994,1457.4617880000008,0,0.0
130,600519.SH,20200401,1104.1765,1116.0388,1090.3373,1090.3373,1098.2454,-7.908100000000104,-0.7201,33205.35,3700184.247,7.319,1206.4317839999994,1451.055161000001,0,0.0
131,600519.SH,20200331,1069.5783,1102.1995,1069.3806,1098.2454,1059.6931,38.55230000000006,3.6381,47984.37,5293170.703,7.319,1198.0487399999993,1444.7676150000011,0,0.0
132,600519.SH,20200330,1048.078,1064.6357,1044.8653,1059.6931,1063.153,-3.4599000000000606,-0.3254,30687.41,3279823.025,7.319,1188.4557479999994,1438.0945460000012,0,0.0
133,600519.SH,20200327,1072.5439,1079.4635,1062.6686,1063.153,1052.6944,10.458599999999931,0.9935,36261.12,3931759.353,7.319,1179.1043519999992,1431.762576000001,0,0.0
134,600519.SH,20200326,1061.0079,1078.6727,1049.8079,1052.6944,1067.7001,-15.005699999999932,-1.4054,30048.56,3231754.298,7.319,1169.8091039999993,1425.529520000001,0,0.0
135,600519.SH,20200325,1075.4897,1078.8309,1061.8679,1067.7001,1043.8768,23.82330000000001,2.2822,37048.66,4015061.222,7.319,1162.4703319999992,1419.5665210000009,0,0.0
136,600519.SH,20200324,1031.0261,1046.7238,1023.1179,1043.8768,1007.3016,36.5752,3.631,46650.96,4900364.143999998,7.319,1153.814851999999,1413.135289000001,0,0.0
137,600519.SH,20200323,988.5197,1023.3947,980.1371,1007.3016,1023.3947,-16.093099999999936,-1.5725,48472.1,4918121.944,7.319,1143.529107999999,1406.158305000001,0,0.0
138,600519.SH,20200320,999.3934,1031.0261,999.3934,1023.3947,984.5656,38.829099999999926,3.9438,60139.19,6169094.444,7.319,1134.010847999999,1399.492252000001,0,0.0
139,600519.SH,20200319,982.5787,1003.3475,949.0778,984.5656,996.418,-11.852399999999989,-1.1895,102265.07,10075880.47,7.319,1123.945343999999,1392.727908000001,0,0.0
140,600519.SH,20200318,1028.0605,1047.8309,996.418,996.418,1033.102,-36.684000000000076,-3.5509,73459.88,7582762.547,7.319,1114.2867159999992,1386.342088000001,0,0.0
141,600519.SH,20200317,1042.8883,1065.6243,999.5121,1033.102,1054.7505,-21.64850000000001,-2.0525,79359.12,8277472.787,7.319,1106.402283999999,1380.4036080000012,0,0.0
142,600519.SH,20200316,1091.306,1095.2304,1049.8079,1054.7505,1099.2636,-44.513099999999895,-4.0494,51232.54,5548946.745,7.319,1101.1433559999991,1374.526013000001,0,0.0
143,600519.SH,20200313,1077.4865,1116.019,1067.6013,1099.2636,1125.4297,-26.166099999999915,-2.325,75885.31,8348496.48,7.319,1096.585487999999,1369.178749000001,0,0.0
144,600519.SH,20200312,1128.1185,1139.7632,1112.1835,1125.4297,1145.2199,-19.79020000000014,-1.7281,36630.63,4172606.105,7.319,1093.125667999999,1364.1230460000013,0,0.0
145,600519.SH,20200311,1142.2345,1156.1529,1127.901,1145.2199,1142.7288,2.4910999999999603,0.218,35547.57,4124607.952,7.319,1091.600183999999,1359.1956450000012,0,0.0
146,600519.SH,20200310,1100.2224,1154.591,1100.2224,1142.7288,1101.2209,41.50790000000006,3.7693,58062.93,6635936.156,7.319,1090.271611999999,1353.9429330000014,0,0.0
147,600519.SH,20200309,1121.9699,1121.9699,1098.5518,1101.2209,1142.2345,-41.0136,-3.5906,43404.09,4865288.5,7.319,1087.460659999999,1348.2552420000013,0,0.0
148,600519.SH,20200306,1149.6484,1162.4992,1138.7549,1142.2345,1157.5566,-15.322099999999864,-1.3237,30641.0,3553622.358,7.319,1087.191779999999,1342.9975870000012,0,0.0
149,600519.SH,20200305,1123.2648,1161.5008,1117.5809,1157.5566,1115.9597,41.59689999999978,3.7275,62426.45,7210485.103999998,7.319,1087.429023999999,1337.7913530000014,0,0.0
150,600519.SH,20200304,1112.0847,1125.924,1103.4253,1115.9597,1100.2224,15.737300000000005,1.4304,53792.99,6080149.243,7.319,1086.259407999999,1332.1509500000016,0,0.0
151,600519.SH,20200303,1085.3947,1106.0349,1085.3947,1100.2224,1073.5423,26.68010000000004,2.4852,50250.15,5585227.6570000015,7.319,1084.4104799999989,1326.4331740000014,0,0.0
152,600519.SH,20200302,1038.0544,1083.9613,1037.9556,1073.5423,1044.8653,28.677000000000127,2.7446,47663.04,5154329.159,7.319,1081.4868359999991,1320.4685970000014,0,0.0
153,600519.SH,20200228,1058.0127,1069.5783,1037.9160000000004,1044.8653,1074.9065,-30.04120000000012,-2.7948,49946.57,5307929.213,7.319,1078.213251999999,1314.6917500000013,0,0.0
154,600519.SH,20200227,1063.6472,1082.4192,1063.6472,1074.9065,1061.3736,13.532900000000154,1.275,34498.29,3758783.81,7.319,1075.9353079999992,1309.4878150000013,0,0.0
155,600519.SH,20200226,1049.8079,1071.5554,1042.8883,1061.3736,1062.4709,-1.097300000000132,-0.1033,43560.97,4663278.433,7.319,1074.776759999999,1303.3415510000013,0,0.0
156,600519.SH,20200225,1065.6243,1069.6673,1055.6204,1062.4709,1074.6989,-12.228000000000064,-1.1378,38385.62,4127432.13,7.319,1073.345779999999,1297.1854600000013,0,0.0
157,600519.SH,20200224,1092.8085,1097.2569,1073.0382,1074.6989,1100.1038,-25.4049,-2.3093,38650.36,4221857.466,7.319,1073.946011999999,1291.2524490000014,0,0.0
158,600519.SH,20200221,1098.7001,1110.6414,1097.2668,1100.1038,1105.165,-5.061199999999872,-0.458,28940.08,3225337.16,7.319,1075.4240439999992,1285.8838870000013,0,0.0
159,600519.SH,20200220,1084.1096,1111.0962,1082.8344,1105.165,1083.9119,21.253099999999908,1.9608,46802.62,5220660.94,7.319,1077.522867999999,1280.455037000001,0,0.0
160,600519.SH,20200219,1072.5439,1088.8545,1065.6243,1083.9119,1071.5554,12.356500000000095,1.1531,37051.47,4052365.602,7.319,1078.171339999999,1275.1541560000012,0,0.0
161,600519.SH,20200218,1077.4964,1084.2875,1070.5669,1071.5554,1081.2626,-9.707200000000057,-0.8978,26664.96,2897729.692,7.319,1079.2784839999993,1268.3444100000013,0,0.0
162,600519.SH,20200217,1070.0726,1083.6054,1069.9737,1081.2626,1075.5095,5.753100000000131,0.5349,27028.22,2946182.657,7.319,1082.2369239999991,1261.5370360000013,0,0.0
163,600519.SH,20200214,1077.9313,1080.9562,1070.6756,1075.5095,1078.475,-2.9655000000000205,-0.275,23287.6,2534568.401,7.319,1084.321515999999,1254.472231000001,0,0.0
164,600519.SH,20200213,1085.3947,1101.1022,1075.5193,1078.475,1084.673,-6.198000000000093,-0.5714,30357.36,3335277.425,7.319,1088.0778919999989,1248.118481000001,0,0.0
165,600519.SH,20200212,1076.498,1086.1756,1073.4138,1084.673,1085.3947,-0.7217000000000553,-0.0665,28125.43,3072293.973,7.319,1091.6080919999988,1241.9052110000011,0,0.0
166,600519.SH,20200211,1050.7965,1087.0554,1050.5988,1085.3947,1054.2464,31.148300000000066,2.9546,47917.93,5222918.915,7.319,1093.699799999999,1235.9457580000012,0,0.0
167,600519.SH,20200210,1049.8079,1062.2633,1045.063,1054.2464,1063.6472,-9.400800000000118,-0.8838,30533.42,3251908.506,7.319,1093.679635999999,1229.6082220000012,0,0.0
168,600519.SH,20200207,1057.726,1064.6357,1048.8392,1063.6472,1058.7046,4.942600000000084,0.4669,31278.71,3348894.576000001,7.319,1092.2549799999988,1224.2446940000013,0,0.0
169,600519.SH,20200206,1047.2674,1062.6587,1039.9425,1058.7046,1037.9358,20.768800000000056,2.001,47171.21,5011246.407,7.319,1089.585975999999,1219.4138400000013,0,0.0
170,600519.SH,20200205,1037.9457,1041.8998,1021.1705,1037.9358,1026.0934,11.842399999999998,1.1541,47418.24,4956355.235,7.319,1085.2946119999988,1214.3531980000014,0,0.0
171,600519.SH,20200204,1003.3475,1044.8653,999.4033,1026.0934,992.3947,33.69870000000003,3.3957,62624.18,6490469.043,7.319,1080.629195999999,1209.6714320000015,0,0.0
172,600519.SH,20200203,973.6919,999.0771,968.7493,992.3947,1040.7136,-48.318900000000106,-4.6429,123442.88,12314991.759,7.319,1076.276147999999,1204.9665790000013,0,0.0
173,600519.SH,20200123,1063.6472,1063.6472,1025.0949,1040.7136,1063.1628,-22.44920000000002,-2.1115,53468.43,5638945.7420000015,7.319,1072.215311999999,1200.7420150000014,0,0.0
174,600519.SH,20200122,1057.7161,1071.5554,1043.2639,1063.1628,1062.9553,0.2074999999999818,0.0195,36200.04,3875275.065,7.319,1068.439559999999,1196.7735430000016,0,0.0
175,600519.SH,20200121,1068.5898,1074.5209,1059.9897,1062.9553,1078.475,-15.519699999999833,-1.439,32874.05,3542441.308,7.319,1066.319383999999,1192.8273730000014,0,0.0
176,600519.SH,20200120,1099.0955,1099.0955,1069.5783,1078.475,1094.7856,-16.310600000000022,-1.4898,35391.3,3858246.844,7.319,1065.449487999999,1189.3873240000016,0,0.0
177,600519.SH,20200117,1097.2569,1100.005,1088.3701,1094.7856,1094.2913,0.4942999999998392,0.0452,23472.75,2599645.144,7.319,1066.299219999999,1186.1020780000015,0,0.0
178,600519.SH,20200116,1106.0251,1106.0251,1089.9221,1094.2913,1099.3624,-5.071099999999888,-0.4613,23191.65,2571593.141,7.319,1068.276259999999,1183.0772070000014,0,0.0
179,600519.SH,20200115,1096.2783,1108.7237,1092.3143,1099.3624,1094.6867,4.675700000000006,0.4271,26029.11,2895603.674,7.319,1069.2544959999987,1180.1821290000014,0,0.0
180,600519.SH,20200114,1111.2939,1111.9759,1090.3373,1094.6867,1111.3631,-16.676400000000058,-1.5005,35144.65,3916300.79,7.319,1070.5870199999988,1177.2513650000014,0,0.0
181,600519.SH,20200113,1099.7282,1116.2365,1099.2339,1111.3631,1099.7282,11.634900000000016,1.058,38515.75,4325687.959,7.319,1072.5427079999986,1174.6937680000017,0,0.0
182,600519.SH,20200110,1096.2684,1103.1781,1089.843,1099.7282,1090.0407,9.6875,0.8887,35975.87,3993457.118,7.319,1073.5438799999988,1171.6899530000017,0,0.0
183,600519.SH,20200109,1081.4406,1092.6998,1077.4865,1090.0407,1075.6478,14.392900000000054,1.3381,37405.87,4110949.814,7.319,1073.1413559999987,1168.7465370000016,0,0.0
184,600519.SH,20200108,1072.5933,1082.9234,1070.1517,1075.6478,1081.9645,-6.316700000000083,-0.5838,25008.25,2720371.915,7.319,1071.9606679999988,1165.4298550000015,0,0.0
185,600519.SH,20200107,1065.13,1086.3832,1064.0426,1081.9645,1065.6144,16.35010000000011,1.5343,47853.59,5220697.068,7.319,1071.8827719999986,1162.2466240000017,0,0.0
186,600519.SH,20200106,1058.5662,1080.3532,1055.0471,1065.6144,1066.1778,-0.5634000000000015,-0.0528,63414.78,6853917.601,7.319,1071.6451319999985,1159.0031920000017,0,0.0
187,600519.SH,20200103,1104.1765,1104.1765,1064.5369,1066.1778,1117.0273,-50.84950000000004,-4.5522,130318.78,14266380.596,7.319,1071.0417399999988,1155.5785640000017,0,0.0
188,600519.SH,20200102,1115.0502,1131.9144,1103.188,1117.0273,1169.4188,-52.39149999999995,-4.4801,148099.16,16696837.095,7.319,1072.7024519999986,1152.8305780000019,0,0.0
