,index_code,con_code,trade_date,weight
0,399300.SZ,000425.SZ,20200901,0.1661
1,399300.SZ,000157.SZ,20200901,0.2592
2,399300.SZ,000069.SZ,20200901,0.1749
3,399300.SZ,000066.SZ,20200901,0.1817
4,399300.SZ,000063.SZ,20200901,0.6053
5,399300.SZ,000002.SZ,20200901,1.0752
6,399300.SZ,000001.SZ,20200901,0.8525
7,399300.SZ,000568.SZ,20200901,0.628
8,399300.SZ,002773.SZ,20200901,0.076
9,399300.SZ,601169.SH,20200901,0.4174
10,399300.SZ,002179.SZ,20200901,0.1613
11,399300.SZ,601939.SH,20200901,0.2416
12,399300.SZ,601808.SH,20200901,0.0451
13,399300.SZ,000333.SZ,20200901,2.0386
14,399300.SZ,002739.SZ,20200901,0.0883
15,399300.SZ,603899.SH,20200901,0.1556
16,399300.SZ,603369.SH,20200901,0.1951
17,399300.SZ,002624.SZ,20200901,0.2043
18,399300.SZ,601828.SH,20200901,0.0252
19,399300.SZ,601985.SH,20200901,0.1687
20,399300.SZ,603986.SH,20200901,0.3821
21,399300.SZ,603160.SH,20200901,0.1904
22,399300.SZ,300433.SZ,20200901,0.2773
23,399300.SZ,603799.SH,20200901,0.1618
24,399300.SZ,601212.SH,20200901,0.0266
25,399300.SZ,603658.SH,20200901,0.1211
26,399300.SZ,600977.SH,20200901,0.0652
27,399300.SZ,603019.SH,20200901,0.2721
28,399300.SZ,300413.SZ,20200901,0.3033
29,399300.SZ,300408.SZ,20200901,0.1737
30,399300.SZ,601881.SH,20200901,0.1005
31,399300.SZ,603833.SH,20200901,0.1094
32,399300.SZ,002841.SZ,20200901,0.1486
33,399300.SZ,603501.SH,20200901,0.1691
34,399300.SZ,300601.SZ,20200901,0.381
35,399300.SZ,300498.SZ,20200901,0.6346
36,399300.SZ,601108.SH,20200901,0.2131
37,399300.SZ,300628.SZ,20200901,0.0909
38,399300.SZ,601155.SH,20200901,0.1847
39,399300.SZ,001979.SZ,20200901,0.302
40,399300.SZ,603260.SH,20200901,0.0241
41,399300.SZ,600025.SH,20200901,0.0424
42,399300.SZ,600968.SH,20200901,0.0295
43,399300.SZ,002939.SZ,20200901,0.0754
44,399300.SZ,002945.SZ,20200901,0.0239
45,399300.SZ,002958.SZ,20200901,0.0853
46,399300.SZ,601577.SH,20200901,0.055
47,399300.SZ,600928.SH,20200901,0.0432
48,399300.SZ,002916.SZ,20200901,0.1172
49,399300.SZ,601066.SH,20200901,0.1555
50,399300.SZ,601236.SH,20200901,0.0485
51,399300.SZ,603259.SH,20200901,0.6476
52,399300.SZ,601319.SH,20200901,0.0896
53,399300.SZ,601298.SH,20200901,0.0254
54,399300.SZ,002938.SZ,20200901,0.0711
55,399300.SZ,601916.SH,20200901,0.0523
56,399300.SZ,601698.SH,20200901,0.0535
57,399300.SZ,600989.SH,20200901,0.0595
58,399300.SZ,601077.SH,20200901,0.0348
59,399300.SZ,601138.SH,20200901,0.1699
60,399300.SZ,003816.SZ,20200901,0.1031
61,399300.SZ,601021.SH,20200901,0.0944
62,399300.SZ,000596.SZ,20200901,0.1666
63,399300.SZ,000625.SZ,20200901,0.1405
64,399300.SZ,000627.SZ,20200901,0.0641
65,399300.SZ,000651.SZ,20200901,1.529
66,399300.SZ,000656.SZ,20200901,0.1228
67,399300.SZ,000661.SZ,20200901,0.7702
68,399300.SZ,000671.SZ,20200901,0.0661
69,399300.SZ,000703.SZ,20200901,0.133
70,399300.SZ,000708.SZ,20200901,0.0372
71,399300.SZ,000709.SZ,20200901,0.055
72,399300.SZ,000723.SZ,20200901,0.0468
73,399300.SZ,000725.SZ,20200901,0.8756
74,399300.SZ,000728.SZ,20200901,0.129
75,399300.SZ,000768.SZ,20200901,0.1986
76,399300.SZ,000776.SZ,20200901,0.2841
77,399300.SZ,000783.SZ,20200901,0.192
78,399300.SZ,000786.SZ,20200901,0.1586
79,399300.SZ,000858.SZ,20200901,2.6607
80,399300.SZ,000860.SZ,20200901,0.2212
81,399300.SZ,000876.SZ,20200901,0.4832
82,399300.SZ,000895.SZ,20200901,0.3602
83,399300.SZ,000938.SZ,20200901,0.2885
84,399300.SZ,000961.SZ,20200901,0.1033
85,399300.SZ,000963.SZ,20200901,0.1406
86,399300.SZ,000977.SZ,20200901,0.2104
87,399300.SZ,600000.SH,20200901,0.7011
88,399300.SZ,600009.SH,20200901,0.4239
89,399300.SZ,600010.SH,20200901,0.1534
90,399300.SZ,600011.SH,20200901,0.1493
91,399300.SZ,600016.SH,20200901,0.6865
92,399300.SZ,600019.SH,20200901,0.2564
93,399300.SZ,600028.SH,20200901,0.3129
94,399300.SZ,600036.SH,20200901,2.2398
95,399300.SZ,600038.SH,20200901,0.1005
96,399300.SZ,600061.SH,20200901,0.1513
97,399300.SZ,600066.SH,20200901,0.1145
98,399300.SZ,600068.SH,20200901,0.1007
99,399300.SZ,600085.SH,20200901,0.0946
100,399300.SZ,600089.SH,20200901,0.1759
101,399300.SZ,600104.SH,20200901,0.3869
102,399300.SZ,000538.SZ,20200901,0.3545
103,399300.SZ,600111.SH,20200901,0.1584
104,399300.SZ,600115.SH,20200901,0.1298
105,399300.SZ,600118.SH,20200901,0.1362
106,399300.SZ,600170.SH,20200901,0.0816
107,399300.SZ,600176.SH,20200901,0.1813
108,399300.SZ,600177.SH,20200901,0.1223
109,399300.SZ,600183.SH,20200901,0.1658
110,399300.SZ,600188.SH,20200901,0.0483
111,399300.SZ,600196.SH,20200901,0.376
112,399300.SZ,600208.SH,20200901,0.0873
113,399300.SZ,600219.SH,20200901,0.1115
114,399300.SZ,600221.SH,20200901,0.1088
115,399300.SZ,600233.SH,20200901,0.1227
116,399300.SZ,600276.SH,20200901,2.0261
117,399300.SZ,600297.SH,20200901,0.0904
118,399300.SZ,600299.SH,20200901,0.0254
119,399300.SZ,600309.SH,20200901,0.6765
120,399300.SZ,600332.SH,20200901,0.1056
121,399300.SZ,600346.SH,20200901,0.257
122,399300.SZ,600362.SH,20200901,0.0977
123,399300.SZ,600369.SH,20200901,0.108
124,399300.SZ,600372.SH,20200901,0.0543
125,399300.SZ,600383.SH,20200901,0.1882
126,399300.SZ,600390.SH,20200901,0.1031
127,399300.SZ,600398.SH,20200901,0.055
128,399300.SZ,600498.SH,20200901,0.1082
129,399300.SZ,600519.SH,20200901,5.2544
130,399300.SZ,600583.SH,20200901,0.0625
131,399300.SZ,600585.SH,20200901,0.8398
132,399300.SZ,600588.SH,20200901,0.3988
133,399300.SZ,600606.SH,20200901,0.1623
134,399300.SZ,600637.SH,20200901,0.1261
135,399300.SZ,600655.SH,20200901,0.0898
136,399300.SZ,600660.SH,20200901,0.246
137,399300.SZ,600674.SH,20200901,0.0783
138,399300.SZ,600690.SH,20200901,0.4832
139,399300.SZ,600703.SH,20200901,0.3479
140,399300.SZ,600705.SH,20200901,0.1572
141,399300.SZ,600741.SH,20200901,0.2334
142,399300.SZ,600745.SH,20200901,0.2967
143,399300.SZ,600760.SH,20200901,0.1468
144,399300.SZ,600795.SH,20200901,0.1396
145,399300.SZ,600809.SH,20200901,0.2959
146,399300.SZ,600109.SH,20200901,0.2169
147,399300.SZ,600848.SH,20200901,0.0793
148,399300.SZ,601607.SH,20200901,0.1497
149,399300.SZ,600867.SH,20200901,0.1171
150,399300.SZ,600886.SH,20200901,0.1448
151,399300.SZ,600887.SH,20200901,1.4615
152,399300.SZ,600893.SH,20200901,0.232
153,399300.SZ,600516.SH,20200901,0.0885
154,399300.SZ,600050.SH,20200901,0.2792
155,399300.SZ,600522.SH,20200901,0.1671
156,399300.SZ,600030.SH,20200901,1.5873
157,399300.SZ,600004.SH,20200901,0.0899
158,399300.SZ,600570.SH,20200901,0.5409
159,399300.SZ,600436.SH,20200901,0.4343
160,399300.SZ,600031.SH,20200901,0.7607
161,399300.SZ,600271.SH,20200901,0.1172
162,399300.SZ,600029.SH,20200901,0.1504
163,399300.SZ,600352.SH,20200901,0.2167
164,399300.SZ,600489.SH,20200901,0.1223
165,399300.SZ,600487.SH,20200901,0.1291
166,399300.SZ,600547.SH,20200901,0.3146
167,399300.SZ,600015.SH,20200901,0.2279
168,399300.SZ,600406.SH,20200901,0.3044
169,399300.SZ,600900.SH,20200901,0.9973
170,399300.SZ,600340.SH,20200901,0.1522
171,399300.SZ,000100.SZ,20200901,0.5621
172,399300.SZ,600438.SH,20200901,0.3807
173,399300.SZ,601658.SH,20200901,0.0721
174,399300.SZ,002001.SZ,20200901,0.258
175,399300.SZ,002007.SZ,20200901,0.3551
176,399300.SZ,002008.SZ,20200901,0.1831
177,399300.SZ,600482.SH,20200901,0.0753
178,399300.SZ,002024.SZ,20200901,0.2137
179,399300.SZ,601816.SH,20200901,0.106
180,399300.SZ,002027.SZ,20200901,0.4412
181,399300.SZ,002032.SZ,20200901,0.0787
182,399300.SZ,600027.SH,20200901,0.076
183,399300.SZ,002044.SZ,20200901,0.2766
184,399300.SZ,002050.SZ,20200901,0.2491
185,399300.SZ,601988.SH,20200901,0.3975
186,399300.SZ,002153.SZ,20200901,0.0639
187,399300.SZ,002146.SZ,20200901,0.0824
188,399300.SZ,600048.SH,20200901,0.6735
189,399300.SZ,601006.SH,20200901,0.2278
190,399300.SZ,601111.SH,20200901,0.1254
191,399300.SZ,600018.SH,20200901,0.0892
192,399300.SZ,601398.SH,20200901,1.0088
193,399300.SZ,601628.SH,20200901,0.4248
194,399300.SZ,002120.SZ,20200901,0.1402
195,399300.SZ,601166.SH,20200901,1.1826
196,399300.SZ,002463.SZ,20200901,0.1478
197,399300.SZ,601318.SH,20200901,4.8014
198,399300.SZ,002129.SZ,20200901,0.2296
199,399300.SZ,000338.SZ,20200901,0.413
200,399300.SZ,601998.SH,20200901,0.0927
201,399300.SZ,601328.SH,20200901,0.7526
202,399300.SZ,601600.SH,20200901,0.1203
203,399300.SZ,601919.SH,20200901,0.1567
204,399300.SZ,002142.SZ,20200901,0.6037
205,399300.SZ,601009.SH,20200901,0.2941
206,399300.SZ,002371.SZ,20200901,0.2671
207,399300.SZ,601088.SH,20200901,0.3091
208,399300.SZ,002304.SZ,20200901,0.4883
209,399300.SZ,601857.SH,20200901,0.2486
210,399300.SZ,601390.SH,20200901,0.2671
211,399300.SZ,002202.SZ,20200901,0.169
212,399300.SZ,601601.SH,20200901,0.4872
213,399300.SZ,601899.SH,20200901,0.5856
214,399300.SZ,601898.SH,20200901,0.0437
215,399300.SZ,601186.SH,20200901,0.2387
216,399300.SZ,600837.SH,20200901,0.8499
217,399300.SZ,002236.SZ,20200901,0.2427
218,399300.SZ,002252.SZ,20200901,0.1071
219,399300.SZ,002241.SZ,20200901,0.5532
220,399300.SZ,601901.SH,20200901,0.2088
221,399300.SZ,601878.SH,20200901,0.1589
222,399300.SZ,002673.SZ,20200901,0.0995
223,399300.SZ,601198.SH,20200901,0.1076
224,399300.SZ,601288.SH,20200901,0.5352
225,399300.SZ,601838.SH,20200901,0.1287
226,399300.SZ,601997.SH,20200901,0.1063
227,399300.SZ,601229.SH,20200901,0.4836
228,399300.SZ,601162.SH,20200901,0.1331
229,399300.SZ,601668.SH,20200901,0.6283
230,399300.SZ,002271.SZ,20200901,0.3877
231,399300.SZ,601788.SH,20200901,0.2507
232,399300.SZ,601766.SH,20200901,0.4122
233,399300.SZ,601633.SH,20200901,0.1083
234,399300.SZ,601727.SH,20200901,0.1183
235,399300.SZ,600999.SH,20200901,0.4778
236,399300.SZ,601888.SH,20200901,1.2282
237,399300.SZ,601989.SH,20200901,0.2599
238,399300.SZ,002311.SZ,20200901,0.3318
239,399300.SZ,601618.SH,20200901,0.1177
240,399300.SZ,601117.SH,20200901,0.0826
241,399300.SZ,300003.SZ,20200901,0.2841
242,399300.SZ,300014.SZ,20200901,0.2656
243,399300.SZ,601877.SH,20200901,0.2144
244,399300.SZ,300015.SZ,20200901,0.6278
245,399300.SZ,300033.SZ,20200901,0.212
246,399300.SZ,002352.SZ,20200901,0.6495
247,399300.SZ,601688.SH,20200901,0.746
248,399300.SZ,002410.SZ,20200901,0.3695
249,399300.SZ,300059.SZ,20200901,0.9836
250,399300.SZ,002415.SZ,20200901,0.8204
251,399300.SZ,002422.SZ,20200901,0.1507
252,399300.SZ,002456.SZ,20200901,0.1933
253,399300.SZ,601012.SH,20200901,1.0309
254,399300.SZ,002466.SZ,20200901,0.1181
255,399300.SZ,002460.SZ,20200901,0.2329
256,399300.SZ,300124.SZ,20200901,0.3454
257,399300.SZ,601018.SH,20200901,0.0692
258,399300.SZ,002468.SZ,20200901,0.0591
259,399300.SZ,601377.SH,20200901,0.2315
260,399300.SZ,601336.SH,20200901,0.2893
261,399300.SZ,002475.SZ,20200901,1.3863
262,399300.SZ,601818.SH,20200901,0.3548
263,399300.SZ,300122.SZ,20200901,0.4892
264,399300.SZ,600998.SH,20200901,0.0765
265,399300.SZ,002493.SZ,20200901,0.2179
266,399300.SZ,600958.SH,20200901,0.2451
267,399300.SZ,300136.SZ,20200901,0.2784
268,399300.SZ,300142.SZ,20200901,0.5527
269,399300.SZ,002508.SZ,20200901,0.1069
270,399300.SZ,600926.SH,20200901,0.1767
271,399300.SZ,600919.SH,20200901,0.3484
272,399300.SZ,300144.SZ,20200901,0.1719
273,399300.SZ,000166.SZ,20200901,0.2971
274,399300.SZ,002736.SZ,20200901,0.2341
275,399300.SZ,601211.SH,20200901,0.5087
276,399300.SZ,601933.SH,20200901,0.1946
277,399300.SZ,002555.SZ,20200901,0.3404
278,399300.SZ,002558.SZ,20200901,0.0737
279,399300.SZ,601216.SH,20200901,0.1782
280,399300.SZ,601992.SH,20200901,0.0635
281,399300.SZ,603156.SH,20200901,0.0696
282,399300.SZ,002594.SZ,20200901,0.4919
283,399300.SZ,002601.SZ,20200901,0.1353
284,399300.SZ,002607.SZ,20200901,0.1366
285,399300.SZ,002602.SZ,20200901,0.1981
286,399300.SZ,002230.SZ,20200901,0.3425
287,399300.SZ,601669.SH,20200901,0.1811
288,399300.SZ,601100.SH,20200901,0.1525
289,399300.SZ,601225.SH,20200901,0.1894
290,399300.SZ,601555.SH,20200901,0.196
291,399300.SZ,601800.SH,20200901,0.1618
292,399300.SZ,002157.SZ,20200901,0.1874
293,399300.SZ,601360.SH,20200901,0.1104
294,399300.SZ,601231.SH,20200901,0.0898
295,399300.SZ,300347.SZ,20200901,0.3422
296,399300.SZ,603993.SH,20200901,0.1792
297,399300.SZ,603288.SH,20200901,1.0644
298,399300.SZ,601238.SH,20200901,0.0574
299,399300.SZ,002714.SZ,20200901,0.7736
